x1; x2; x3; y
8.82; 31.47; 46.95; 43.71 
26.70; 20.04; 32.35; 84.15 
-9.37; 49.79; -31.14; 82.98 
17.90; -16.34; 39.68; -8.95 
-4.91; -10.80; 42.19; -64.35 
-14.15; 1.88; 28.94; -58.08 
-45.37; -22.54; -33.01; -141.21 
31.86; 12.08; 25.38; 89.75 
-29.04; -0.46; -0.59; -81.54 
45.06; 34.43; 35.46; 157.74 
-38.78; 24.61; -39.21; -36.32 
-12.39; 34.22; 5.30; 20.56 
2.05; 45.14; -22.85; 100.39 
21.92; 22.98; -38.67; 128.58 
-46.74; 47.31; -18.75; -34.02 
-47.87; -45.52; 9.80; -219.80 
-46.14; 14.98; -48.28; -66.76 
-48.75; -38.14; 17.14; -214.82 
-1.10; -18.28; -6.10; -31.08 
4.35; -35.65; -44.25; -17.98 
33.29; -26.91; -38.10; 72.84 
-13.90; -1.78; -32.34; -18.41 
-1.90; 15.33; 44.35; -12.15 
-41.95; -17.95; 38.10; -176.37 
-48.12; 36.59; 24.93; -88.81 
-5.71; 33.95; 16.87; 30.03 
7.89; 27.81; -5.46; 73.55 
0.81; 40.98; -21.58; 88.78 
-16.39; -45.59; 25.58; -144.40 
30.95; 39.18; 11.61; 144.57 
-30.99; 33.85; -25.26; -8.99 
8.40; -40.73; -1.04; -47.57 
-42.78; -27.03; -45.15; -132.86 
-37.69; 12.29; -15.41; -72.35 
-25.62; -9.93; -20.84; -73.56 
-28.22; 41.00; -2.79; -5.50 
-25.29; 11.50; 21.55; -66.73 
2.83; 0.02; -21.50; 23.04 
-27.26; 23.85; 36.49; -61.75 
-14.81; -22.82; 33.76; -106.45 
-21.13; -40.70; 8.99; -136.74 
19.12; -44.67; -21.72; -9.43 
-47.72; 31.28; 43.12; -110.41 
41.69; -28.11; -1.85; 67.20 
4.36; 38.92; 10.54; 71.26 
-20.16; -46.96; -40.56; -108.28 
-49.65; 29.72; -24.86; -68.16 
9.37; 46.58; -19.61; 120.78 
-39.71; -23.08; 31.57; -174.26 
-45.80; 30.16; 23.97; -92.87 
36.80; -11.18; -45.67; 115.54 
49.92; 3.41; -46.93; 178.20 
32.42; 47.94; 44.22; 139.76 
-38.62; -41.74; 48.80; -216.46 
40.19; 48.85; 24.47; 177.48 
-8.80; 45.01; -25.00; 71.70 
8.02; -32.65; -2.30; -33.63 
28.89; -49.32; 39.86; -36.03 
49.14; 43.92; 6.96; 206.65 
27.85; -2.16; -17.51; 85.60 
-37.20; -31.11; 19.58; -172.40 
49.63; 31.57; -21.90; 207.87 
-49.74; 6.67; 13.45; -136.87 
-16.80; 36.45; 22.45; -0.47 
18.87; 16.77; -42.73; 112.33 
14.50; -18.02; 39.91; -21.46 
-18.77; -29.64; -41.42; -73.66 
44.69; -21.04; 33.50; 61.65 
39.15; -39.36; 10.42; 31.51 
-40.57; 23.94; 16.80; -83.90 
-24.50; 40.48; 10.33; -5.81 
46.45; 27.98; 35.31; 150.48 
-37.18; 30.63; -1.24; -49.51 
-41.13; 49.71; -38.72; 0.48 
17.69; 40.98; 21.20; 103.88 
32.56; 16.48; 41.58; 87.36 
19.37; 39.53; 48.39; 85.89 
26.31; 33.10; -39.48; 158.95 
-3.38; -43.57; 11.53; -94.45 
13.07; -28.68; 3.15; -16.77 
9.07; -23.19; -24.98; 2.52 
-38.30; -18.23; -16.25; -126.53 
34.88; 47.55; -47.36; 213.66 
-13.51; 21.61; 1.12; -1.39 
-40.49; -40.00; 8.66; -188.91 
-29.36; -7.64; -24.71; -77.08 
-9.92; -4.72; 12.25; -45.50 
17.50; -19.98; 13.50; 2.98 
29.28; -23.97; 49.01; 2.39 
-43.02; 27.25; 11.47; -80.98 
-12.26; -10.75; -42.85; -21.70 
-39.24; -41.93; -46.26; -148.16 
-8.38; -8.39; 17.50; -51.50 
-29.41; 19.52; -38.57; -19.70 
42.74; -11.79; -39.63; 126.46 
30.18; -27.20; 30.72; 12.80 
-32.85; 16.24; -26.19; -44.10 
-29.75; -30.67; -15.06; -125.37 
-19.96; -42.56; 14.07; -140.50 
16.90; -42.06; 13.12; -36.82 
-31.85; 26.17; 30.65; -66.11 
42.13; 32.27; -41.67; 202.95 
26.82; 15.25; 15.15; 88.88 
-46.22; 23.42; -45.74; -54.17 
-21.12; -8.95; -35.05; -48.88 
-23.29; 9.18; -38.35; -20.90 
-11.42; -49.27; -33.39; -93.39 
-36.51; 14.64; -20.16; -61.48 
-22.90; 8.97; 12.05; -57.48 
4.62; -48.60; -43.67; -40.19 
-48.16; 4.63; 4.56; -129.46 
-16.53; -41.63; 41.06; -149.35 
40.10; -48.63; -26.97; 45.68 
-25.69; 5.41; -34.63; -36.86 
-40.06; 3.29; 43.15; -137.91 
30.79; -40.80; -30.42; 36.07 
34.32; 44.88; -5.83; 176.73 
-12.60; -18.93; -27.36; -48.33 
10.73; 11.50; 10.50; 41.22 
29.67; 27.01; -26.64; 148.16 
46.78; 48.96; -17.38; 226.89 
13.03; 39.91; 10.34; 97.14 
16.57; 30.93; -16.71; 111.34 
-41.50; -43.38; -22.29; -174.68 
-23.77; -33.20; 49.36; -160.88 
-39.69; -33.70; 45.21; -202.77 
-41.64; -11.51; -13.38; -126.21 
15.65; 42.77; 46.09; 82.92 
-46.84; 8.42; 11.43; -124.29 
-28.61; -33.09; 43.13; -169.48 
-36.77; -24.75; 30.37; -168.13 
-3.05; 25.71; -44.48; 68.46 
-44.59; -10.25; 38.31; -170.44 
11.49; -38.58; 1.25; -36.97 
-38.98; 46.34; 46.89; -62.78 
37.50; -26.31; 5.89; 53.00 
43.95; 18.71; -36.52; 180.58 
12.25; -22.35; -23.57; 11.75 
-25.06; 3.99; -15.91; -51.44 
38.41; -10.36; -4.90; 91.26 
-40.15; 29.09; 29.45; -83.13 
32.13; 18.57; -5.38; 124.55 
7.76; -38.23; -34.64; -20.13 
5.28; -28.35; -24.21; -17.53 
15.71; -17.41; -23.75; 30.06 
-24.85; 42.12; -25.49; 22.58 
29.96; -24.53; -3.67; 42.28 
-44.47; 26.80; -16.99; -64.72 
-20.17; 2.66; 18.60; -65.75 
-40.74; -44.96; -43.69; -159.49 
24.78; 36.95; 8.27; 126.07 
40.29; 38.69; 48.42; 142.35 
-19.89; 28.45; -38.03; 21.81 
-30.54; 44.90; -48.10; 28.38 
-20.28; 44.06; -43.36; 51.84 
-47.02; 15.81; -49.85; -66.59 
47.42; 13.91; -42.05; 185.93 
14.72; -14.72; -30.97; 37.34 
-48.24; 44.70; 15.63; -68.15 
-29.58; 44.38; 37.27; -33.04 
-38.85; 14.02; -7.86; -78.14 
-2.32; 8.89; -42.25; 39.57 
46.72; 11.06; 25.30; 129.20 
-5.96; -10.30; 1.08; -35.97 
19.23; -30.14; -14.68; 10.95 
2.15; -36.05; -27.97; -36.81 
44.43; 42.14; -1.58; 196.82 
-35.26; -42.92; 7.24; -178.45 
-2.71; 20.09; 20.68; 11.41 
15.31; -31.66; -32.85; 10.89 
-17.39; 1.30; 39.14; -75.61 
-10.45; -9.48; -47.94; -10.71 
-8.45; -26.11; 24.33; -87.58 
0.29; 33.75; 34.52; 33.24 
-1.13; -29.85; 2.01; -57.30 
-16.93; 26.28; -9.23; 4.92 
14.38; 46.87; -49.65; 157.39 
-42.41; 46.85; -7.96; -30.81 
14.16; -25.44; 5.07; -9.53 
34.08; 11.72; -40.75; 144.21 
26.66; -46.75; -49.02; 28.04 
24.86; -21.97; 36.11; 3.17 
25.28; 49.00; 46.89; 119.85 
26.37; -25.66; -48.76; 63.74 
26.64; -14.85; -6.77; 52.22 
-35.74; -15.30; 43.76; -158.74 
27.82; -11.42; -46.07; 90.54 
49.09; 28.37; -39.90; 214.13 
-5.43; -38.51; 3.35; -85.27 
